image_name,image_path,store_name,date,total_amount,subtotal_from_items,num_items,line_items,processing_time,extraction_timestamp,categorized_items,categories_summary,primary_category
X00016469670.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X00016469670.jpg,tan chay yee,2019-01-15,,,0,[],10.503397226333618,2026-03-20T20:01:57.860248,[],{},Other
X00016469671.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X00016469671.jpg,OJC MARKETING SDN BHD,2019-01-02,,,1,"[{""item_name"": ""KINGS SAFETY"", ""price"": null}]",8.23822283744812,2026-03-20T20:01:57.860261,"[{""item_name"": ""KINGS SAFETY"", ""price"": null, ""category"": ""Other""}]","{""Other"": 0}",Other
X51005200931.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005200931.jpg,GOGIANT ENGINEERING (M) SDN BHD,2018-09-02,436.2,154.5,5,"[{""item_name"": ""CERAMIC CAP"", ""price"": 3.5}, {""item_name"": ""S/STEEL 1/2 STREET ELBOW"", ""price"": 55.0}, {""item_name"": ""ESICUT 4 CUTTING DISC (1 BOX)-50PCS"", ""price"": 43.0}, {""item_name"": ""WELDRO PICKLING GEL 1KG"", ""price"": 43.0}, {""item_name"": ""13.5 WELDING GLOVE - GREEN (GS)"", ""price"": 10.0}]",24.828822374343872,2026-03-20T20:01:57.860270,"[{""item_name"": ""CERAMIC CAP"", ""price"": 3.5, ""category"": ""Other""}, {""item_name"": ""S/STEEL 1/2 STREET ELBOW"", ""price"": 55.0, ""category"": ""Other""}, {""item_name"": ""ESICUT 4 CUTTING DISC (1 BOX)-50PCS"", ""price"": 43.0, ""category"": ""Other""}, {""item_name"": ""WELDRO PICKLING GEL 1KG"", ""price"": 43.0, ""category"": ""Other""}, {""item_name"": ""13.5 WELDING GLOVE - GREEN (GS)"", ""price"": 10.0, ""category"": ""Other""}]","{""Other"": 154.5}",Other
X51005230605.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230605.jpg,Petron BKT Lanjan SB Alserkam Enterprise,2018-01-02,4.9,4.9,2,"[{""item_name"": ""double, mint tea"", ""price"": 3.0}, {""item_name"": ""sandwich vanilla"", ""price"": 1.9}]",10.245985507965088,2026-03-20T20:01:57.860274,"[{""item_name"": ""double, mint tea"", ""price"": 3.0, ""category"": ""Groceries""}, {""item_name"": ""sandwich vanilla"", ""price"": 1.9, ""category"": ""Dining""}]","{""Dining"": 1.9, ""Groceries"": 3.0}",Groceries
X51005230616.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230616.jpg,Gerbang Alaf Restaurants Sdn Bhd,2018-01-19,75.4,76.19999999999999,3,"[{""item_name"": ""SpicyDeluxe"", ""price"": 25.4}, {""item_name"": ""M Coke"", ""price"": 25.4}, {""item_name"": ""Fries"", ""price"": 25.4}]",13.820427417755127,2026-03-20T20:01:57.860280,"[{""item_name"": ""SpicyDeluxe"", ""price"": 25.4, ""category"": ""Other""}, {""item_name"": ""M Coke"", ""price"": 25.4, ""category"": ""Groceries""}, {""item_name"": ""Fries"", ""price"": 25.4, ""category"": ""Other""}]","{""Groceries"": 25.4, ""Other"": 50.8}",Other
X51005230621.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230621.jpg,sin lianhap sdn bhd,05/02/2018,7.3,5001.887,2,"[{""item_name"": ""PPD 4MM DENLIME"", ""price"": 1.887}, {""item_name"": ""6023# GARDEN"", ""price"": 5000.0}]",12.233215808868408,2026-03-20T20:01:57.860285,"[{""item_name"": ""PPD 4MM DENLIME"", ""price"": 1.887, ""category"": ""Other""}, {""item_name"": ""6023# GARDEN"", ""price"": 5000.0, ""category"": ""Other""}]","{""Other"": 5001.887}",Other
X51005230648.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230648.jpg,CROSS CHANNEL NETWORK SDN. BHD.,,6.36,6.36,1,"[{""item_name"": ""SCHNEIDER E15R 13A SWITCH"", ""price"": 6.36}]",8.34376311302185,2026-03-20T20:01:57.860289,"[{""item_name"": ""SCHNEIDER E15R 13A SWITCH"", ""price"": 6.36, ""category"": ""Other""}]","{""Other"": 6.36}",Other
X51005230657.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230657.jpg,CROSS CHANNEL NETWORK SDN. BHD.,,7950.0,4742.0,4,"[{""item_name"": ""20MM HERO PVC CONDUIT PIPE"", ""price"": 180.0}, {""item_name"": ""15A PVC CONNECTOR"", ""price"": 191.0}, {""item_name"": ""R & B-C/CLIP 8MM X 100PCS"", ""price"": 371.0}, {""item_name"": ""CABLE CLIPS @ 35000"", ""price"": 4000.0}]",19.17136573791504,2026-03-20T20:01:57.860294,"[{""item_name"": ""20MM HERO PVC CONDUIT PIPE"", ""price"": 180.0, ""category"": ""Other""}, {""item_name"": ""15A PVC CONNECTOR"", ""price"": 191.0, ""category"": ""Other""}, {""item_name"": ""R & B-C/CLIP 8MM X 100PCS"", ""price"": 371.0, ""category"": ""Other""}, {""item_name"": ""CABLE CLIPS @ 35000"", ""price"": 4000.0, ""category"": ""Electronics""}]","{""Electronics"": 4000.0, ""Other"": 742.0}",Electronics
X51005230659.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005230659.jpg,,,,,0,[],14.915570497512817,2026-03-20T20:01:57.860297,[],{},Other
X51005268275.jpg,/kaggle/input/datasets/urbikn/sroie-datasetv2/SROIE2019/test/img/X51005268275.jpg,Lightroom Gallery SDN BHD,2017-11-20,283.02,200.95,2,"[{""item_name"": ""LED TRACK LIGHT"", ""price"": 45.29}, {""item_name"": ""BK TRACK HOLDER"", ""price"": 155.66}]",11.179778575897217,2026-03-20T20:01:57.860301,"[{""item_name"": ""LED TRACK LIGHT"", ""price"": 45.29, ""category"": ""Other""}, {""item_name"": ""BK TRACK HOLDER"", ""price"": 155.66, ""category"": ""Other""}]","{""Other"": 200.95}",Other
