image_index,image_name,store_name,total_amount,processing_time
0,X00016469670.jpg,OJC MARKETING SDN BHD,193.0,2.815861940383911
1,X00016469671.jpg,OJC MARKETING SDN BHD,170.0,4.8395490646362305
2,X51005200931.jpg,[name],,6.023850679397583
3,X51005230605.jpg,Babu,,7.649016857147217
4,X51005230616.jpg,Golden Arches Restaurants Sdn Bhd,2.0,9.557745218276978
5,X51005230621.jpg,SIM LAMAP,2.0,11.01398491859436
6,X51005230648.jpg,Cross Channel Network Sdn. Bhd.,6.36,12.903094053268433
7,X51005230657.jpg,Cross Channel Network Sdn. Bhd.,,15.67410945892334
8,X51005230659.jpg,SWC Enterprise SDN BHD,8.0,17.46371626853943
9,X51005268275.jpg,LIGHTROOM GALLERY SDN BHD,,19.571531534194946
10,X51005268408.jpg,[name],,20.29390573501587
11,X51005288570.jpg,Secure Parking Corporation S/B,0.06,21.878507375717163
12,X51005301666.jpg,LIGHTROOM GALLERY SDN BHD,,23.963911771774292
13,X51005337867.jpg,Old Town White Coffee,30.02,25.574398517608643
14,X51005337877.jpg,UROKO JAPANESE CUISINE SDN BHD,53.0,28.06108069419861
15,X51005361906.jpg,,,29.57753300666809
16,X51005361908.jpg,TED HENG STATIONERY & BOOKS,127.2,31.77063488960266
17,X51005361912.jpg,Ted Heng Stationery & Books,1.06,33.5111243724823
18,X51005361923.jpg,SWC ENTERPRISES SDN BHD,4.0,35.70179104804993
19,X51005365187.jpg,F&P PHARMACY,31.9,37.35812473297119
20,X51005433518.jpg,LUNPHARKA INTERNATIONAL SDN BHD,110.0,39.262383460998535
21,X51005433543.jpg,Unihakk International Sdn Bhd,18.0,41.25248312950134
22,X51005433548.jpg,[name],,42.448031187057495
23,X51005433556.jpg,[name],,43.61948609352112
24,X51005442322.jpg,Tony's 5th Avenue Terracotta City,269.4,45.78333234786987
25,X51005442334.jpg,[name],,46.960991859436035
26,X51005442343.jpg,YOYO TAT HARDWARE TRADING,4.09,48.87261390686035
27,X51005442366.jpg,,,53.40277910232544
28,X51005442375.jpg,UNIHAVA INTERNATIONAL SDN BHD,85.5,55.35276961326599
29,X51005442382.jpg,UNIHAKKA INTERNATIONAL SDN BHD,4.4,57.28148603439331
30,X51005442388.jpg,[name],,58.454702615737915
31,X51005444040.jpg,BENS INDEPENDENT GROCER SDN. BHD.,137.0,60.82520866394043
32,X51005444041.jpg,BENS INDEPENDENT GROCER SDN. BHD.,81.0,63.19717764854431
33,X51005444044.jpg,Sunquick Oren,5.35,64.70134472846985
34,X51005444046.jpg,,,69.18646788597107
35,X51005447841.jpg,Pasaraya Borong Pintar Sdn Bhd,10.4,71.44428777694702
36,X51005447842.jpg,Pasaraya Borong Pintar SDN BHD,0.9,73.62293148040771
37,X51005447844.jpg,,,74.67068290710449
38,X51005447851.jpg,PASARAYA BORONG PINTAR SDN BHD,1.7,77.00581288337708
39,X51005447859.jpg,PASARAYA BORONG PINTAR SDN BHD,1.45,79.34195876121521
40,X51005568855.jpg,Popular Book Co.,28.35,80.82228589057922
41,X51005568866.jpg,Popular Book Co. (M) SDN BHD,4.75,82.91750359535217
42,X51005568885.jpg,Evergreen Light SDN BHD,56.0,84.73102474212646
43,X51005568887.jpg,Hon Hwa Hardware Trading,7.2,86.30251407623291
44,X51005568889.jpg,Hon Hwa Hardware Trading,19.6,87.94149780273438
45,X51005568890.jpg,Hon Hwa Hardware Trading,5.0,89.49135065078735
46,X51005568892.jpg,Evergreen Light SDN BHD,26.0,91.30913138389587
47,X51005568894.jpg,VIVOPAC MARKETING SDN BHD,46.65,93.40666079521179
48,X51005568895.jpg,Vivopac Marketing SDN BHD,52.45,95.28998136520386
49,X51005577191.jpg,FY Eagle Enterprise,10.0,96.72880387306213
50,X51005582745.jpg,Modern Depot SDN BHD,150.0,98.51619601249695
51,X51005587261.jpg,Chop Yew Lian,30.0,100.13571739196777
52,X51005605287.jpg,AEON CO. (M) BHD,12.25,102.13428473472595
53,X51005605295.jpg,ECONSAVE CASH & CARRY (FG) S/S,4.2,104.34788131713867
54,X51005605332.jpg,Popular Book Co. (M) SDN BHD,7.95,106.39135766029358
